ticker,name,sector,market_cap,price,pe_trailing,pe_forward,pb,ps,ev_ebitda,peg,fcf_yield,roe,roa,gross_margin,operating_margin,profit_margin,debt_to_equity,current_ratio,revenue_growth,earnings_growth,dividend_yield,held_by_insiders,short_ratio,valuation_score,quality_score,growth_score,composite_score
POW.TO,"POWER CORPORATION OF CANADA, SV",Financial Services,50263441408,79.76,19.173079,11.978225,2.1967611,1.2737498,-13.892,0.73,-0.5243721798126824,0.10466,0.00455,0.52502,0.18761998,0.07007,47.533,79.199,0.074,0.21,3.35,0.0061500003,3.01,0.7302038218948551,0.2748440940162073,0.4458202611071754,0.5281703830191764
IAG.TO,IA FINANCIAL CORPORATION,Financial Services,15407459328,170.97,15.81591,11.104284,2.1585486,1.633877,10.886,1.13,0.09409403491757834,0.13362001,0.00738,0.46098,0.09621,0.11103,48.502,1.941,0.134,-0.247,2.38,0.00103,4.35,0.645140572206849,0.434657813742781,0.3547110616334379,0.5279071801584135
GOOG.TO,ALPHABET CDR (CAD HEDGED),Communication Services,6263161225216,62.96,28.748857,,14.028473,14.8241205,4.537,1.48,0.0044580921697472435,0.38884997,0.14641,0.60368,0.36121,0.37919,20.026,1.922,0.218,0.82,0.22,,0.59,0.35869194173287744,0.7041820843563763,0.6796376884930675,0.5277553536651305
GOOS.TO,CANADA GOOSE HOLDINGS INC,Consumer Cyclical,1282280192,13.2,57.391304,11.272994,2.2676516,0.83907884,8.757,,0.15025967741066065,0.04694,0.05495,0.69723,0.27552998,0.01472,125.072,2.628,0.179,0.03,,0.10393,10.99,0.566778333889445,0.4902710055215502,0.48297237121748815,0.5274298745598882
WPM.TO,WHEATON PRECIOUS METALS CORP,Basic Materials,81465499648,179.39,33.097786,22.108217,6.879631,29.670664,34.773,0.43,0.007852284006898675,0.21542,0.14041,0.85807997,0.75021005,0.65550005,0.083,4.531,0.916,1.288,0.59,0.00113,2.84,0.2509090836868615,0.7836797270348469,0.8510626454812267,0.5274018431278111
WCP.TO,WHITECAP RESOURCES INC,Energy,20320686080,16.74,22.931505,13.6097555,1.8468667,3.303371,7.006,,0.06254094979848239,0.101569995,0.05787,0.62558997,0.041589998,0.13725,33.007,0.536,1.148,-0.932,4.36,0.00606,2.75,0.5786170615059504,0.4745593710735323,0.4769254124076511,0.5269431224898591
GWO.TO,GREAT-WEST LIFECO INC,Financial Services,69822537728,77.75,16.72043,12.863444,2.6159954,1.9397304,-11.272,1.88,0.014943240534518546,0.13807,0.00685,0.47919,0.20476,0.124180004,26.709,30.309,0.07,0.424,3.29,0.72796994,8.32,0.6279672578454255,0.39763518576154744,0.48910535370913877,0.5265217469956252
MEQ.TO,MAINSTREET EQ J,Real Estate,1560841600,168.02,8.338462,16.70179,0.8454262,5.583148,19.366,2.49,0.04954698798391842,0.16302,0.02723,0.66875,0.59365004,0.99814004,97.624,0.938,0.048,-0.14,0.19,0.49153,12.74,0.4929482050973279,0.6856635658378578,0.265302094929663,0.5262516648313637
QBR-B.TO,QUEBECOR INC CLASS B SV,Communication Services,14761172992,65.36,18.411268,13.824991,5.654958,2.5772905,10.581,2.03,0.0892256289329991,0.35277998,0.07564,0.5774,0.26319,0.15552,260.791,0.944,0.039,0.183,2.45,0.00555,6.14,0.4567073401722524,0.6883292411614851,0.3720574840603178,0.5250775271016936
AYA.TO,AYA GOLD AND SILVER INC,Basic Materials,3794467584,26.47,32.280487,12.369046,6.003908,13.28851,24.179,,0.010017808074124794,0.24129999,0.15184,0.5487,0.66156995,0.30453,21.387,2.223,2.466,5.6,,0.035350002,3.39,0.2561857412968524,0.7119946744129751,0.9767027628782512,0.5237964211247051
ASM.TO,AVINO SILVER AND GOLD MINES LTD,Basic Materials,1653684736,9.81,42.652176,8.821943,4.3742757,14.6572075,28.507,1.18,0.00910051031637508,0.18122,0.12477,0.54938,0.49458998,0.32740003,3.03,5.775,1.093,1.257,,0.0633,3.01,0.3249551319629292,0.666107595301495,0.850824815302095,0.5232389466323021
WPK.TO,WINPAK LTD,Consumer Cyclical,2341806848,39.92,13.131578,11.450926,1.3266513,2.0896842,9.003,,0.024269615595555728,0.10079,0.06979,0.30229,0.14107001,0.11934,1.049,8.764,-0.017,-0.06,0.5,0.58419997,12.5,0.7076555444333221,0.3987735011700153,0.19602266977026617,0.5228018980917063
